Phil Collins - 33.5 million units
Britney Spears - 34 million units
Bon Jovi - 34.5 million units
Queen - 34.5 million units
Def Leppard - 35 million units
Bob Dylan - 36 million units
Tupac Shakur - 36.5 million units
Prince - 36.5 million units
Backstreet Boys - 37 million units
Tim McGraw - 37.5 million units
Foreigner - 37.5 million units
Rod Stewart - 38 million units
Simon & Garfunkel - 38.5 million units
Chicago - 38.5 million units
Eric Clapton - 40 million units
Reba McEntire - 41 million units
Santana - 43.5 million units
Alan Jackson - 43.5 million units
Eminem - 44.5 million units
Guns N' Roses - 44.5 million units
Bob Seger & The Silver Bullet Band - 44.5 million units
Alabama - 46.5 million units
Kenny Rogers - 47.5 million units
Shania Twain - 48 million units
Kenny G - 48 million units
Journey - 48 million units
Neil Diamond - 49.5 million units
Fleetwood Mac - 49.5 million units
Celine Dion - 50 million units
U2 - 52 million units
Van Halen - 56.5 million units
Whitney Houston - 57 million units
Metallica - 63 million units
Mariah Carey - 64 million units
Madonna - 64.5 million units
Bruce Springsteen - 65.5 million units
Aerosmith - 66.5 million units
The Rolling Stones - 66.5 million units
Barbara Streisand - 68.5 million units
George Strait - 69 million units
AC/DC - 72 million units
Pink Floyd - 75 million units
Elton John - 78 million units
Michael Jackson - 81 million units
Billy Joel - 82.5 million units
Eagles - 101 million units
Led Zeppelin - 111.5 million units
Elvis Presley - 136 million units
Garth Brooks - 148 million units
The Beatles - 178 million units
